filename,scene_graph
0vqvDs5, 0-man 
0WBXRH9,TV.  hair.  face.  television
12XLnzK,0-tie near 13-neck .  0-tie on 3-man .  10-mouth of 3-man .  11-nose of 3-man .  11-nose of 8-man .  14-mouth of 3-man .  14-mouth of 8-man .  3-man has 14-mouth .  3-man has 15-hair .  8-man has 11-nose .  8-man has 15-hair .  8-man wearing 1-tie .  8-man wearing 9-shirt 
16vTnwg,10-woman has 9-head .  11-woman has 8-hair 
1BeUIMs, 10-letter .   11-letter .   12-letter .   14-letter .   15-letter .  eye.   2-letter .   4-letter .   5-sign .   6-letter .   7-letter .  product label.   9-letter 
1DY6I9Q,0-man has 11-eye .  0-man has 1-neck .  0-man has 2-hair .  0-man has 3-nose .  0-man has 4-ear .  0-man has 6-eye .  0-man has 7-mouth .  0-man has 8-face .  0-man wearing 12-shirt .  0-man wearing 15-tie .  10-person wearing 15-tie .  11-eye of 0-man .  13-letter on 5-sign .  14-letter on 5-sign .  15-tie on 12-shirt .  15-tie on 1-neck .  3-nose of 0-man .  3-nose of 10-person .  4-ear of 0-man .  4-ear of 10-person .  5-sign behind 0-man .  6-eye of 0-man .  7-mouth of 0-man .  8-face of 0-man 
1f2zSW8,0-tie near 11-neck .  0-tie on 1-man .  12-face of 1-man .  15-person has 2-hair .  15-person wearing 0-tie .  1-man has 11-neck .  1-man has 12-face .  1-man has 2-hair .  1-man has 3-nose .  1-man has 5-mouth .  1-man wearing 0-tie .  1-man wearing 13-shirt .  1-man wearing 9-shirt .  3-nose of 15-person .  3-nose of 1-man .  3-nose on 12-face .  5-mouth of 1-man 
1iLg1U1,2-letter on 0-sign .  3-letter on 0-sign 
1JQk5NF,0-tie on 4-man .  10-head of 4-man .  1-glass on 4-man .  1-glass on 9-face .  2-hair on 10-head .  4-man has 10-head .  4-man has 2-hair .  4-man has 5-ear .  4-man has 6-hand .  4-man has 9-face .  4-man wearing 0-tie .  4-man wearing 12-jacket .  4-man wearing 1-glass .  4-man wearing 8-shirt .  5-ear of 4-man .  6-hand of 4-man .  9-face of 4-man 
1nSSB9S,frame.  blot
1Yj5Kns,0-face of 2-man .  1-glass on 0-face .  1-glass on 2-man .  1-glass on 6-head .  2-man has 0-face .  2-man has 3-hair .  2-man has 5-ear .  2-man wearing 1-glass .  3-hair on 6-head .  5-ear of 2-man .  5-ear on 6-head 
1YQOnyG,11-man wearing 9-glass .  1-hand of 2-man .  2-man has 1-hand .  2-man wearing 0-tie .  2-man wearing 10-jacket .  2-man wearing 8-shirt .  2-man wearing 9-glass .  9-glass on 2-man 
209BoJK,0-glass on 2-man .  0-glass on 8-face .  12-head of 4-woman .  13-nose of 4-woman .  2-man has 1-hair .  2-man has 8-face .  2-man wearing 0-glass .  2-man wearing 10-shirt .  2-man wearing 14-tie .  4-woman has 12-head .  4-woman has 13-nose .  4-woman has 6-hair .  4-woman has 9-mouth .  6-hair on 12-head .  8-face of 2-man .  9-mouth of 4-woman 
27nZ2PK,10-letter on 14-sign .  13-letter on 14-sign 
2aiRLNR,0-glass on 1-man .  0-glass on 3-face .  10-head of 6-woman .  11-nose of 6-woman .  13-letter on 2-sign .  15-letter on 2-sign .  1-man has 3-face .  1-man has 5-hair .  1-man wearing 0-glass .  1-man wearing 14-shirt .  3-face of 1-man .  4-hair on 10-head .  6-woman has 10-head .  6-woman has 11-nose .  6-woman has 12-neck .  6-woman has 4-hair .  6-woman wearing 7-shirt .  8-flag behind 1-man 
2iaC1qq,0-cat has 1-ear .  0-cat has 2-ear .  0-cat has 3-head .  0-cat has 5-eye .  1-ear of 0-cat .  2-ear of 0-cat .  3-head of 0-cat .  5-eye of 0-cat 
2MXmVri,0-hand of 3-man .  1-nose of 15-person .  1-nose of 3-man .  1-nose on 5-face .  2-mouth of 3-man .  3-man has 0-hand .  3-man has 14-finger .  3-man has 1-nose .  3-man has 2-mouth .  3-man has 5-face .  4-man wearing 6-shirt .  5-face of 15-person .  5-face of 3-man 
2myYC1v,10-woman has 11-arm .  10-woman has 13-hand .  10-woman has 15-hair .  10-woman has 7-hair .  11-arm of 10-woman .  3-man has 2-hair .  3-man has 4-face .  3-man has 8-nose .  4-face of 3-man .  5-nose of 9-woman .  8-nose of 3-man .  8-nose on 4-face .  9-woman has 0-hair .  9-woman has 4-face .  9-woman has 5-nose 
2pt7Wkd,0-glass on 2-man .  0-glass on 8-face .  2-man has 4-hair .  2-man has 8-face .  2-man wearing 0-glass .  6-woman has 7-hair .  6-woman has 9-face .  8-face of 2-man .  9-face of 6-woman 
2siNIoX,0-tie near 10-neck .  0-tie on 1-man .  11-nose of 1-man .  13-mouth of 1-man .  1-man has 10-neck .  1-man has 11-nose .  1-man has 13-mouth .  1-man has 3-hair .  1-man has 4-face .  1-man has 5-head .  1-man has 9-ear .  1-man wearing 0-tie .  1-man wearing 2-shirt .  1-man wearing 6-jacket .  1-man wearing 8-shirt .  2-shirt under 6-jacket .  3-hair on 5-head .  4-face of 1-man .  5-head of 1-man .  9-ear of 1-man 
2tuVUzz,10-leg of 1-woman .  1-woman has 10-leg .  1-woman wearing 3-hat 
2UT3Ips,0-head of 4-cat .  10-nose of 4-cat .  11-face of 4-cat .  1-ear of 4-cat .  2-eye of 4-cat .  3-ear of 4-cat .  4-cat has 0-head .  4-cat has 10-nose .  4-cat has 11-face .  4-cat has 1-ear .  4-cat has 2-eye .  4-cat has 3-ear .  4-cat has 6-eye .  6-eye of 4-cat 
34nLFqO,0-face of 10-head .  10-head has 0-face .  10-head has 12-eye .  10-head has 1-eye .  10-head has 2-face .  10-head has 3-eye .  10-head has 9-hair .  12-eye of 10-head .  1-eye of 10-head .  3-eye of 10-head .  9-hair on 0-face .  9-hair on 10-head 
3bqSgzm,0-glass on 4-man .  0-glass on 8-face .  11-face of 5-woman .  12-mouth of 5-woman .  15-flag behind 4-man .  4-man has 2-hair .  4-man has 8-face .  4-man has 9-nose .  4-man wearing 0-glass .  4-man wearing 14-tie .  5-woman has 11-face .  5-woman has 12-mouth .  5-woman has 13-neck .  5-woman has 3-hair .  5-woman wearing 10-shirt .  8-face of 4-man .  9-nose of 4-man .  9-nose on 8-face 
3CbPlsi,0-woman has 6-hair .  1-man has 2-face 
3fsUJvp,11-head of 1-man .  1-man has 11-head 
3wirGHJ,10-head of 3-man .  12-mouth of 3-man .  3-man has 10-head .  3-man has 12-mouth .  3-man has 4-hair .  3-man has 8-face .  3-man has 9-nose .  3-man wearing 0-tie .  3-man wearing 11-jacket .  3-man wearing 5-shirt .  4-hair on 10-head .  5-shirt under 11-jacket .  8-face of 3-man .  9-nose of 3-man .  9-nose on 8-face 
3YtnZiU,0-laptop on 10-table .  11-woman has 13-mouth .  11-woman has 15-head .  11-woman has 2-hair .  11-woman has 4-nose .  11-woman has 5-hand .  11-woman has 9-hand .  11-woman sitting on 1-chair .  11-woman using 0-laptop .  11-woman wearing 6-shirt .  13-mouth of 11-woman .  15-head of 11-woman .  2-hair on 15-head .  4-nose of 11-woman .  5-hand of 11-woman .  5-hand on 0-laptop .  8-flower on 10-table .  9-hand of 11-woman .  9-hand on 0-laptop 
3Zz0vux,0-man has 4-hand .  0-man has 5-hand .  0-man wearing 10-jacket .  0-man wearing 12-shirt .  0-man wearing 7-tie .  12-shirt under 10-jacket .  4-hand of 0-man 
43LJZG9,12-head of 6-woman .  14-hat on 8-head .  1-face of 6-woman .  3-hat on 12-head .  6-woman has 12-head .  6-woman has 1-face 
474EyYj,10-hat on 11-person .  10-hat on 8-head .  10-hat on 9-man .  1-nose of 9-man .  2-ear of 9-man .  4-eye of 9-man .  5-eye of 9-man .  6-mouth of 9-man .  7-ear of 9-man .  8-head of 9-man .  9-man has 1-nose .  9-man has 2-ear .  9-man has 3-neck .  9-man has 4-eye .  9-man has 5-eye .  9-man has 6-mouth .  9-man has 7-ear .  9-man has 8-head .  9-man wearing 0-shirt .  9-man wearing 10-hat 
4hxCAfW,0-ear of 10-person .  0-ear of 2-man .  10-person has 3-hair .  10-person has 5-nose .  10-person wearing 1-tie .  10-person wearing 6-shirt .  11-mouth of 10-person .  14-eye of 10-person .  14-eye of 2-man .  1-tie near 9-neck .  1-tie on 2-man .  2-man has 0-ear .  2-man has 11-mouth .  2-man has 14-eye .  2-man has 3-hair .  2-man has 4-eye .  2-man has 5-nose .  2-man has 7-eye .  2-man has 8-face .  2-man has 9-neck .  2-man wearing 1-tie .  2-man wearing 6-shirt .  4-eye of 10-person .  4-eye of 2-man .  5-nose of 10-person .  5-nose of 2-man .  5-nose on 8-face .  7-eye of 2-man .  8-face of 2-man 
4j07SmD,10-head of 14-man .  10-head of 7-person .  11-head of 1-man .  14-man wearing 2-jacket .  1-man has 11-head .  1-man has 3-hand .  1-man has 4-hair .  1-man has 6-hand .  1-man wearing 0-tie .  1-man wearing 8-shirt .  3-hand of 1-man .  4-hair on 11-head .  5-hair on 10-head .  6-hand of 1-man .  7-person has 10-head .  7-person has 5-hair .  7-person wearing 2-jacket .  9-number on 13-sign 
4j4jraI,0-mouth of 11-woman .  10-hand of 11-woman .  11-woman has 0-mouth .  11-woman has 1-eye .  11-woman has 2-nose .  11-woman has 3-face .  11-woman has 4-eye .  11-woman has 5-ear .  11-woman has 6-hair .  11-woman has 9-hand .  1-eye of 11-woman .  2-nose of 11-woman .  2-nose on 3-face .  3-face of 11-woman .  4-eye of 11-woman .  5-ear of 11-woman .  9-hand of 11-woman 
4KXGjz0,12-hand of 3-man .  14-arm of 4-woman .  15-letter on 13-sign .  3-man has 12-hand .  3-man has 7-hair .  3-man has 8-arm .  3-man has 9-head .  4-woman has 11-head .  4-woman has 14-arm .  4-woman has 5-hand .  5-hand of 3-man .  5-hand of 4-woman .  8-arm of 3-man .  9-head of 3-man 
4LoGRB5,0-glass on 2-man .  0-glass on 5-face .  10-woman has 11-nose .  10-woman has 14-neck .  10-woman has 3-hair .  10-woman has 7-mouth .  10-woman has 8-face .  11-nose of 10-woman .  15-letter on 4-sign .  2-man has 1-hair .  2-man has 5-face .  2-man has 6-nose .  2-man wearing 0-glass .  5-face of 2-man .  6-nose of 2-man .  6-nose on 5-face .  7-mouth of 10-woman 
53U5Bca,0-nose of 13-man .  0-nose of 15-person .  0-nose on 3-face .  10-nose of 13-man .  10-nose of 15-person .  13-man has 0-nose .  13-man has 10-nose .  13-man has 1-eye .  13-man has 2-eye .  13-man has 3-face .  13-man has 4-hair .  13-man has 5-ear .  13-man has 8-neck .  13-man has 9-head .  13-man wearing 12-shirt .  15-person has 0-nose .  15-person has 10-nose .  15-person has 14-hair .  15-person has 4-hair .  15-person has 5-ear .  15-person has 9-head .  1-eye of 13-man .  1-eye of 15-person .  2-eye of 13-man .  2-eye of 15-person .  4-hair on 9-head .  5-ear of 13-man .  5-ear of 15-person .  9-head of 13-man .  9-head of 15-person 
55A2AUa, 0-face .  body.   12-jacket .   13-neck .   14-arm .   15-letter .   1-eye .  hair.   4-head .   5-eye .   8-person .   9-snow 
5aomAQA,2-woman has 0-hair .  2-woman has 3-face .  2-woman has 4-nose .  2-woman has 5-mouth .  2-woman has 6-neck .  2-woman has 7-mouth .  2-woman has 8-arm .  2-woman has 9-head .  3-face of 2-woman .  4-nose of 2-woman .  5-mouth of 2-woman .  6-neck of 2-woman .  7-mouth of 2-woman .  8-arm of 2-woman .  9-head of 2-woman 
5hhUFqA, 10-letter .   13-letter .   14-letter .   15-letter .   1-letter .   2-letter .   3-letter .   4-letter .   5-letter .   6-letter .   7-letter .   8-letter .   9-letter 
5hN4XOF,10-tire on 2-truck .  12-tree behind 2-truck .  13-door on 2-truck .  14-windshield on 2-truck .  1-tree behind 2-truck .  2-truck has 10-tire .  2-truck has 13-door .  2-truck has 14-windshield .  2-truck has 4-tire .  2-truck has 7-light .  3-tree behind 2-truck .  4-tire on 2-truck .  5-tree behind 2-truck .  7-light on 2-truck .  9-tree behind 2-truck 
5NWPOQp,flame.  man.  hair.  fire.   1-hair .   4-table .   5-hand .   6-sign .   7-sign .  letter
5oT4c6d,10-man wearing 12-hat .  11-hat on 8-head .  12-hat on 15-head .  12-hat on 2-man .  15-head of 2-man .  2-man has 6-hand .  2-man wearing 0-shirt .  2-man wearing 12-hat .  5-hand of 9-man .  7-glove on 14-hand .  8-head of 9-man .  9-man has 5-hand .  9-man has 8-head .  9-man wearing 11-hat .  9-man wearing 13-pant .  9-man wearing 4-shirt .  9-man wearing 7-glove 
5Oznxbq,12-lamp behind 3-man .  13-light behind 3-man .  14-ear of 3-man .  15-door behind 3-man .  3-man has 0-hair .  3-man has 10-neck .  3-man has 14-ear .  3-man has 1-hair .  3-man has 2-nose .  3-man has 5-face .  3-man has 7-mouth .  3-man has 8-nose .  3-man has 9-face .  3-man wearing 4-tie .  3-man wearing 6-shirt .  4-tie near 10-neck .  7-mouth of 3-man .  8-nose of 3-man .  9-face of 3-man 
5spRvtw,0-elephant has 13-leg .  0-elephant has 2-ear .  0-elephant has 3-leg .  0-elephant has 4-head .  0-elephant has 7-leg .  10-leg of 8-woman .  11-leg of 8-woman .  13-leg of 0-elephant .  15-arm of 8-woman .  2-ear of 0-elephant .  3-leg of 0-elephant .  4-head of 0-elephant .  7-leg of 0-elephant .  8-woman has 10-leg .  8-woman has 11-leg .  8-woman has 15-arm .  8-woman has 1-hair .  8-woman has 4-head .  8-woman has 7-leg .  8-woman wearing 12-shoe .  8-woman wearing 9-shoe 
5vVB395,1-eye of 3-man .  2-face of 3-man .  3-man has 0-eye .  3-man has 1-eye .  3-man has 2-face .  3-man has 4-nose .  3-man has 5-eye .  3-man has 7-head .  4-nose of 3-man .  4-nose on 2-face .  5-eye of 3-man .  7-head of 3-man 
5W8eGmw, 2-building .  building.   5-letter 
5WXHaW4, 0-man 
5YMQ6wi,0-glass on 5-face .  10-hand of 2-man .  13-finger on 4-hand .  14-arm of 2-man .  2-man has 10-hand .  2-man has 12-hair .  2-man has 13-finger .  2-man has 14-arm .  2-man has 4-hand .  2-man has 5-face .  2-man has 6-leg .  2-man has 9-neck .  4-hand of 2-man 
6eRZSgn,11-head of 1-man .  1-man has 11-head .  1-man has 7-hair .  7-hair on 11-head 
6faN492,0-glass on 11-man .  0-glass on 2-face .  10-eye of 11-man .  11-man has 10-eye .  11-man has 1-nose .  11-man has 2-face .  11-man has 3-hair .  11-man has 4-eye .  11-man has 5-mouth .  11-man has 8-hand .  11-man has 9-neck .  11-man wearing 0-glass .  15-letter on 6-sign .  1-nose of 11-man .  1-nose on 2-face .  2-face of 11-man .  4-eye of 11-man .  5-mouth of 11-man .  6-sign behind 11-man .  8-hand of 11-man 
6G0PNe1,0-sign has 9-letter .  5-letter on 0-sign .  8-letter on 0-sign .  9-letter on 0-sign 
6jA3QAb,11-head of 8-boy .  14-child has 13-leg .  14-child has 6-hair .  14-child wearing 1-shirt .  14-child wearing 3-short .  4-hair on 11-head .  8-boy has 11-head .  8-boy has 4-hair .  8-boy wearing 10-sock .  8-boy wearing 15-shoe .  8-boy wearing 2-short .  8-boy wearing 5-jacket .  9-girl has 6-hair .  9-girl wearing 1-shirt .  9-girl wearing 3-short 
6L5ohmp,0-hand of 2-man .  1-nose of 2-man .  2-man has 0-hand .  2-man has 1-nose .  2-man has 3-face .  2-man has 4-mouth .  2-man has 5-hair .  2-man has 6-head .  3-face of 2-man .  4-mouth of 2-man .  5-hair on 6-head .  6-head of 2-man 
6NFcW7v,0-glass on 3-man .  0-glass on 6-face .  11-person has 1-hair .  11-person wearing 0-glass .  15-eye of 3-man .  2-nose of 11-person .  2-nose of 3-man .  2-nose on 6-face .  3-man has 13-neck .  3-man has 15-eye .  3-man has 1-hair .  3-man has 2-nose .  3-man has 5-mouth .  3-man has 6-face .  3-man has 7-ear .  3-man wearing 0-glass .  3-man wearing 4-shirt .  5-mouth of 3-man .  7-ear of 11-person .  7-ear of 3-man 
6r16i0p,11-man has 6-hand .  11-man holding 2-sign .  13-man holding 2-sign .  15-hand of 3-man .  3-man has 12-hair .  3-man has 15-hand .  3-man wearing 4-shirt .  7-man has 0-hand .  7-man has 9-hand 
6uTXEgh,0-shirt has 7-letter .  1-letter on 0-shirt .  2-letter on 0-shirt .  2-letter on 3-logo .  3-logo has 7-letter .  3-logo on 0-shirt .  7-letter on 0-shirt .  7-letter on 3-logo .  8-letter on 0-shirt .  8-letter on 3-logo 
6V4OrKm,0-eye of 14-woman .  14-woman has 0-eye .  14-woman has 15-head .  14-woman has 1-nose .  14-woman has 2-eye .  14-woman has 3-mouth .  14-woman has 4-hair .  14-woman has 6-face .  14-woman has 7-ear .  14-woman has 8-hand .  14-woman has 9-neck .  15-head of 14-woman .  1-nose of 14-woman .  1-nose on 6-face .  2-eye of 14-woman .  3-mouth of 14-woman .  6-face of 14-woman .  7-ear of 14-woman .  8-hand of 14-woman .  9-neck of 14-woman 
6WELqLH,0-nose of 3-girl .  0-nose of 8-woman .  0-nose on 2-face .  1-mouth of 3-girl .  1-mouth of 8-woman .  3-girl has 0-nose .  3-girl has 10-neck .  3-girl has 1-mouth .  3-girl has 2-face .  3-girl has 6-eye .  3-girl has 7-eye .  6-eye of 3-girl .  6-eye of 8-woman .  7-eye of 3-girl .  7-eye of 8-woman .  8-woman has 0-nose .  8-woman has 1-mouth .  8-woman has 2-face .  8-woman has 6-eye .  8-woman has 7-eye .  8-woman wearing 5-shirt 
76vgP7x,0-mouth of 4-man .  10-eye of 4-man .  1-ear of 4-man .  2-eye of 4-man .  3-face of 4-man .  4-man has 0-mouth .  4-man has 10-eye .  4-man has 1-ear .  4-man has 2-eye .  4-man has 3-face 
7CIR9VI,10-tree has 4-branch .  10-tree has 7-branch .  1-face of 3-man .  2-glass on 1-face .  2-glass on 3-man .  3-man has 1-face .  3-man wearing 2-glass .  4-branch of 10-tree .  7-branch of 10-tree 
7COAAL3,0-woman has 12-neck .  0-woman has 15-hair .  0-woman has 1-nose .  0-woman has 2-hair .  0-woman has 3-face .  0-woman has 8-eye .  0-woman has 9-mouth .  0-woman wearing 4-shirt .  12-neck of 0-woman .  1-nose of 0-woman .  1-nose on 3-face .  3-face of 0-woman .  8-eye of 0-woman .  9-mouth of 0-woman 
7eTNqFK,0-phone in 6-hand .  11-mouth of 9-woman .  13-nose of 4-woman .  15-phone in 6-hand .  4-woman has 13-nose .  4-woman has 14-finger .  4-woman has 1-hair .  4-woman has 6-hand .  4-woman has 7-face .  4-woman has 8-hand .  4-woman holding 0-phone .  4-woman holding 15-phone .  4-woman wearing 2-shirt .  6-hand holding 0-phone .  6-hand of 4-woman .  7-face of 4-woman .  9-woman has 10-face .  9-woman has 11-mouth .  9-woman has 3-hair .  9-woman has 8-hand 
7juAkcv, 0-man .   1-logo 
7Lg5Rd2,5-nose on 1-face .  9-hair on 6-head 
7lqO9Qr,0-mouth of 7-man .  1-nose of 7-man .  1-nose on 4-person .  2-eye of 7-man .  3-eye of 7-man .  7-man has 0-mouth .  7-man has 1-nose .  7-man has 2-eye .  7-man has 3-eye .  7-man has 5-ear .  7-man has 8-eye .  8-eye of 7-man 
7Q0ReMA,0-laptop has 8-screen .  2-man wearing 13-jacket .  2-man wearing 3-pant .  2-man wearing 7-tie .  8-screen on 0-laptop 
7rNwjnv,10-head of 2-woman .  2-woman has 0-hair .  2-woman has 10-head .  2-woman has 3-arm .  2-woman has 4-arm .  2-woman has 9-neck .  2-woman wearing 1-shirt .  3-arm of 2-woman .  4-arm of 2-woman .  9-neck of 2-woman 
7S6NEVD,0-tie near 15-neck .  10-face of 2-man .  1-hand of 8-woman .  2-man has 10-face .  2-man has 15-neck .  2-man has 5-ear .  2-man has 7-hair .  2-man wearing 0-tie .  2-man wearing 4-shirt .  2-man wearing 9-jacket .  5-ear of 2-man .  8-woman has 14-finger .  8-woman has 1-hand .  8-woman has 3-hair 
7wKCNn2,10-flag behind 5-man .  11-head of 8-bird .  14-letter on 7-shirt .  1-glass on 4-face .  1-glass on 5-man .  2-hand holding 10-flag .  2-hand of 5-man .  3-mouth of 5-man .  4-face of 5-man .  5-man has 2-hand .  5-man has 3-mouth .  5-man has 4-face .  5-man has 6-nose .  5-man has 9-hair .  5-man wearing 15-shirt .  5-man wearing 1-glass .  6-nose of 5-man .  6-nose on 4-face .  7-shirt has 14-letter .  8-bird has 11-head 
873SgEx,0-glass on 1-man .  0-glass on 2-face .  1-man has 2-face .  1-man has 5-hair .  1-man has 9-head .  1-man wearing 0-glass .  1-man wearing 8-jacket .  2-face of 1-man .  5-hair on 9-head .  9-head of 1-man 
88B7ag2,0-man has 10-head .  0-man has 1-hand .  0-man has 4-face .  0-man has 6-neck .  0-man has 7-arm .  0-man sitting on 11-chair .  0-man wearing 2-glass .  0-man wearing 3-shirt .  10-head of 0-man .  1-hand of 0-man .  2-glass on 0-man .  2-glass on 4-face .  4-face of 0-man .  6-neck of 0-man .  7-arm of 0-man 
88pU7QL,0-glass on 10-man .  0-glass on 3-face .  10-man has 1-mouth .  10-man has 2-nose .  10-man has 3-face .  10-man has 6-head .  10-man has 7-eye .  10-man has 9-hair .  10-man wearing 0-glass .  1-mouth of 10-man .  2-nose of 10-man .  3-face of 10-man .  6-head of 10-man .  7-eye of 10-man 
8Djb33H,0-glass on 3-face .  0-glass on 5-man .  12-eye on 8-face .  3-face of 5-man .  4-head of 5-man .  5-man has 3-face .  5-man has 4-head 
8Fwa0DR,0-man has 3-face .  0-man has 8-head 
8ItzKTN,9-roof on 11-building 
8jiJ4Zt,12-man wearing 13-pant .  12-man wearing 15-jacket .  14-girl has 0-hair .  3-woman has 4-hair .  3-woman has 5-hand .  3-woman wearing 1-short 
8mhcYsP,0-man wearing 10-pant .  0-man wearing 3-tie .  13-woman has 6-hair .  1-man wearing 12-shoe .  1-man wearing 2-tie .  1-man wearing 7-shirt .  4-man wearing 11-tie .  4-man wearing 14-pant .  4-man wearing 5-shoe 
8NMWu57, 10-letter .   12-sign .  man.   15-person .   1-people .   2-letter .   4-man .   5-letter .   6-letter .   7-leg .   8-letter .   9-letter 
8oKcC3I,0-glass on 12-face .  0-glass on 7-man .  10-ear of 3-man .  12-face of 7-man .  13-face of 3-man .  1-mouth of 7-man .  2-nose of 7-man .  2-nose on 12-face .  3-man has 10-ear .  3-man has 13-face .  3-man has 15-hair .  3-man has 5-nose .  3-man has 6-mouth .  3-man has 9-eye .  3-man wearing 11-shirt .  3-man wearing 14-jacket .  4-hand of 7-man .  5-nose of 3-man .  6-mouth of 3-man .  7-man has 12-face .  7-man has 1-mouth .  7-man has 2-nose .  7-man has 4-hand .  7-man wearing 0-glass .  7-man wearing 8-shirt .  9-eye of 3-man 
8oOhdGX,0-man has 1-ear .  0-man has 5-hair .  0-man wearing 4-shirt .  11-woman has 6-hair .  1-ear of 0-man .  3-man wearing 10-hat .  3-man wearing 13-tie .  7-man has 9-hair .  7-man wearing 12-jean .  7-man wearing 2-shirt 
8UJlZ3J, 0-hand .   10-finger .   12-head .  telephone.  eye.  puppet.  mouth.   7-face .  man.  hair
8WsB12c,0-nose of 7-man .  0-nose on 4-face .  15-mouth of 7-man .  1-eye of 7-man .  2-eye of 7-man .  3-mouth of 7-man .  4-face of 7-man .  5-mouth of 7-man .  7-man has 0-nose .  7-man has 15-mouth .  7-man has 1-eye .  7-man has 2-eye .  7-man has 3-mouth .  7-man has 4-face .  7-man has 5-mouth 
8ZOPW62,0-man has 12-hand .  0-man has 3-hand .  0-man has 6-head .  0-man wearing 10-pant .  0-man wearing 11-jean .  0-man wearing 9-glass .  12-hand of 0-man .  15-woman has 1-hair .  3-hand of 0-man .  6-head of 0-man .  9-glass on 6-head 
91sHVxQ, 0-eye .  hand.  hair.   14-neck .   15-letter .   2-face .  man.   4-ear .   9-head 
94anjQG,dog.  shirt
95L0GB6,14-face of 6-man .  1-man has 10-hand .  4-woman has 3-hair .  5-woman has 9-hair .  6-man has 14-face .  6-man wearing 2-tie 
95yFB4s, 0-shoe .   10-letter .   12-letter .  man.   14-letter .   15-letter .   3-leg .   4-letter .   5-basket .  basket.   8-letter .   9-letter 
9A372Gl,meme frame.  arm.  meme text.  machine.  finger.   7-letter .   8-letter 
9BmlvFy,0-head of 5-man .  3-face of 5-man .  5-man has 0-head .  5-man has 1-hair .  5-man has 3-face 
9CYSG3P,13-man has 3-ear .  13-man has 8-hair .  13-man wearing 0-shirt .  14-nose on 6-face .  3-ear of 13-man .  9-woman has 4-hair .  9-woman has 7-hand .  9-woman wearing 11-shirt 
9dArUsU,0-eye of 4-man .  12-shirt under 5-jacket .  13-door behind 4-man .  14-cap on 4-man .  14-cap on 9-head .  1-nose of 4-man .  1-nose on 6-face .  3-eye of 4-man .  4-man has 0-eye .  4-man has 1-nose .  4-man has 3-eye .  4-man has 6-face .  4-man has 7-mouth .  4-man has 8-eye .  4-man has 9-head .  4-man wearing 14-cap .  4-man wearing 5-jacket .  6-face of 4-man .  7-mouth of 4-man .  8-eye of 4-man .  9-head of 4-man 
9diI55h.jpg,0-mouth of 5-man .  13-ear of 5-man .  1-eye of 5-man .  2-eye of 5-man .  3-ear of 5-man .  4-nose of 5-man .  4-nose on 7-face .  5-man has 0-mouth .  5-man has 13-ear .  5-man has 1-eye .  5-man has 2-eye .  5-man has 3-ear .  5-man has 4-nose .  5-man has 6-hair .  5-man has 7-face .  7-face of 5-man 
