filename,scene_graph
1DY6I9Q,0-man has 11-eye . 0-man has 1-neck . 0-man has 2-hair . 0-man has 3-nose . 0-man has 4-ear . 0-man has 6-eye . 0-man has 7-mouth . 0-man has 8-face . 0-man wearing 12-shirt . 0-man wearing 15-tie . 0-man wearing 9-shirt . 10-person wearing 15-tie . 10-person wearing 9-shirt . 11-eye of 0-man . 13-letter on 5-sign . 14-letter on 5-sign . 15-tie on 12-shirt . 15-tie on 1-neck . 3-nose of 0-man . 3-nose of 10-person . 4-ear of 0-man . 4-ear of 10-person . 5-sign behind 0-man . 6-eye of 0-man . 7-mouth of 0-man . 8-face of 0-man 
1f2zSW8,0-tie near 11-neck . 0-tie on 1-man . 10-sign behind 1-man . 12-face of 1-man . 15-person has 2-hair . 15-person wearing 0-tie . 1-man has 11-neck . 1-man has 12-face . 1-man has 2-hair . 1-man has 3-nose . 1-man has 5-mouth . 1-man wearing 0-tie . 1-man wearing 13-shirt . 1-man wearing 9-shirt . 3-nose of 15-person . 3-nose of 1-man . 3-nose on 12-face . 5-mouth of 1-man 
1iLg1U1,2-letter on 0-sign . 3-letter on 0-sign 
1JQk5NF,0-tie on 4-man . 10-head of 4-man . 13-man holding 3-sign . 14-hat on 4-man . 1-glass on 4-man . 1-glass on 9-face . 2-hair on 10-head . 4-man has 10-head . 4-man has 2-hair . 4-man has 5-ear . 4-man has 6-hand . 4-man has 9-face . 4-man wearing 0-tie . 4-man wearing 12-jacket . 4-man wearing 14-hat . 4-man wearing 1-glass . 4-man wearing 8-shirt . 5-ear of 4-man . 6-hand of 4-man . 9-face of 4-man 
1nSSB9S,0-paper under 1-cap 
1Yj5Kns,0-face of 2-man . 1-glass on 0-face . 1-glass on 2-man . 1-glass on 6-head . 2-man has 0-face . 2-man has 3-hair . 2-man has 5-ear . 2-man wearing 1-glass . 3-hair on 6-head . 5-ear of 2-man . 5-ear on 6-head . 7-sign above 2-man . 8-window behind 2-man 
1YQOnyG,11-man wearing 9-glass . 1-hand of 2-man . 2-man has 1-hand . 2-man wearing 0-tie . 2-man wearing 10-jacket . 2-man wearing 8-shirt . 2-man wearing 9-glass . 5-woman holding 3-sign . 9-glass on 2-man 
209BoJK,0-glass on 2-man . 0-glass on 8-face . 12-head of 4-woman . 13-nose of 4-woman . 2-man has 1-hair . 2-man has 8-face . 2-man wearing 0-glass . 2-man wearing 10-shirt . 2-man wearing 14-tie . 4-woman has 12-head . 4-woman has 13-nose . 4-woman has 6-hair . 4-woman has 9-mouth . 4-woman holding 3-sign . 4-woman wearing 7-shirt . 6-hair on 12-head . 8-face of 2-man . 9-mouth of 4-woman 
27nZ2PK,0-eye on 2-kite . 10-letter on 14-sign . 11-glass on 2-kite . 13-letter on 14-sign . 15-eye on 2-kite . 1-glass on 2-kite . 2-kite has 0-eye . 2-kite has 11-glass . 2-kite has 15-eye . 2-kite has 1-glass . 2-kite has 6-eye . 5-letter on 14-sign . 6-eye on 2-kite . 7-letter on 14-sign 
27S1feu,0-light on 10-sign . 10-sign above 1-sign . 11-letter on 10-sign . 11-letter on 12-letter . 12-letter on 10-sign . 13-letter on 10-sign . 13-letter on 1-sign . 14-letter on 10-sign . 15-letter on 10-sign . 15-letter on 1-sign . 1-sign under 10-sign . 2-letter on 10-sign . 2-letter on 1-sign . 3-letter on 10-sign . 3-letter on 1-sign . 4-letter on 1-sign . 5-letter on 10-sign . 5-letter on 12-letter . 6-letter on 1-sign . 7-letter on 10-sign . 7-letter on 12-letter . 8-letter on 10-sign . 8-letter on 12-letter . 9-letter on 10-sign . 9-letter on 1-sign 
2aiRLNR,0-glass on 1-man . 0-glass on 3-face . 10-head of 6-woman . 11-nose of 6-woman . 13-letter on 2-sign . 15-letter on 2-sign . 1-man has 3-face . 1-man has 5-hair . 1-man wearing 0-glass . 1-man wearing 14-shirt . 3-face of 1-man . 4-hair on 10-head . 6-woman has 10-head . 6-woman has 11-nose . 6-woman has 12-neck . 6-woman has 4-hair . 6-woman holding 9-sign . 6-woman wearing 7-shirt . 8-flag behind 1-man 
2d5AxL6, 0-sign .  1-light .  2-sign .  3-number .  4-logo 
2iaC1qq,0-cat has 1-ear . 0-cat has 2-ear . 0-cat has 3-head . 0-cat has 5-eye . 11-letter on 0-cat . 12-letter on 10-sign . 14-letter on 4-sign . 15-letter on 4-sign . 1-ear of 0-cat . 2-ear of 0-cat . 3-head of 0-cat . 5-eye of 0-cat . 7-letter on 10-sign . 8-letter on 10-sign . 9-letter on 4-sign 
2MXmVri,0-hand of 3-man . 1-nose of 15-person . 1-nose of 3-man . 1-nose on 5-face . 2-mouth of 3-man . 3-man has 0-hand . 3-man has 14-finger . 3-man has 1-nose . 3-man has 2-mouth . 3-man has 5-face . 4-man sitting on 8-chair . 4-man wearing 6-shirt . 5-face of 15-person . 5-face of 3-man 
2myYC1v,10-woman has 11-arm . 10-woman has 13-hand . 10-woman has 15-hair . 10-woman has 7-hair . 11-arm of 10-woman . 13-hand of 10-woman . 3-man has 2-hair . 3-man has 4-face . 3-man has 8-nose . 4-face of 3-man . 5-nose of 9-woman . 6-man has 13-hand . 7-hair has 15-hair . 8-nose of 3-man . 8-nose on 4-face . 9-woman has 0-hair . 9-woman has 4-face . 9-woman has 5-nose 
2NS27kx,1-woman near 0-paper 
2pt7Wkd,0-glass on 2-man . 0-glass on 8-face . 10-flag on 15-screen . 11-sign on 15-screen . 12-number on 13-sign . 12-number on 15-screen . 1-sign on 15-screen . 2-man has 4-hair . 2-man has 8-face . 2-man on 15-screen . 2-man wearing 0-glass . 3-sign on 15-screen . 5-sign on 15-screen . 6-woman has 7-hair . 6-woman has 9-face . 6-woman on 15-screen . 6-woman wearing 14-shirt . 8-face of 2-man . 9-face of 6-woman 
2siNIoX,0-tie near 10-neck . 0-tie on 1-man . 11-nose of 1-man . 13-mouth of 1-man . 1-man has 10-neck . 1-man has 11-nose . 1-man has 13-mouth . 1-man has 3-hair . 1-man has 4-face . 1-man has 5-head . 1-man has 9-ear . 1-man wearing 0-tie . 1-man wearing 2-shirt . 1-man wearing 6-jacket . 1-man wearing 7-glass . 1-man wearing 8-shirt . 2-shirt under 6-jacket . 3-hair on 5-head . 4-face of 1-man . 5-head of 1-man . 7-glass on 1-man . 7-glass on 4-face . 9-ear of 1-man 
2tuVUzz,10-leg of 1-woman . 14-woman riding 2-horse . 15-man wearing 12-pant . 15-man wearing 5-hat . 1-woman has 10-leg . 1-woman wearing 3-hat . 1-woman wearing 8-shirt 
2UT3Ips,0-head of 4-cat . 0-head of 5-dog . 10-nose of 4-cat . 10-nose on 5-dog . 11-face of 4-cat . 1-ear of 4-cat . 2-eye of 4-cat . 2-eye of 5-dog . 3-ear of 4-cat . 4-cat has 0-head . 4-cat has 10-nose . 4-cat has 11-face . 4-cat has 1-ear . 4-cat has 2-eye . 4-cat has 3-ear . 4-cat has 6-eye . 4-cat in 8-window . 5-dog has 10-nose . 5-dog has 6-eye . 5-dog in 8-window . 6-eye of 4-cat . 6-eye of 5-dog . 7-cup in 8-window 
34nLFqO,0-face of 10-head . 10-head has 0-face . 10-head has 12-eye . 10-head has 1-eye . 10-head has 2-face . 10-head has 3-eye . 10-head has 7-tail . 10-head has 9-hair . 10-head wearing 5-glass . 11-glass on 2-face . 12-eye of 10-head . 1-eye of 10-head . 3-eye of 10-head . 5-glass on 2-face . 9-hair on 0-face . 9-hair on 10-head 
3bqSgzm,0-glass on 4-man . 0-glass on 8-face . 11-face of 5-woman . 12-mouth of 5-woman . 15-flag behind 4-man . 4-man has 2-hair . 4-man has 8-face . 4-man has 9-nose . 4-man wearing 0-glass . 4-man wearing 14-tie . 5-woman has 11-face . 5-woman has 12-mouth . 5-woman has 13-neck . 5-woman has 3-hair . 5-woman holding 1-sign . 5-woman wearing 10-shirt . 8-face of 4-man . 9-nose of 4-man . 9-nose on 8-face 
3CbPlsi,0-woman has 3-lady . 0-woman has 6-hair . 1-man has 2-face . 1-man has 5-hair . 1-man wearing 7-glass . 4-person behind 1-man . 7-glass on 1-man . 7-glass on 2-face 
3cvbmM0,1-letter on 2-logo 
3fsUJvp,10-letter on 9-box . 11-head of 1-man . 12-letter on 9-box . 13-letter on 4-sign . 14-letter on 4-sign . 1-man has 11-head . 1-man has 7-hair . 1-man wearing 0-shirt . 5-letter on 9-box . 7-hair on 11-head . 8-letter on 4-sign 
3wirGHJ,10-head of 3-man . 12-mouth of 3-man . 13-flower on 6-flag . 3-man has 10-head . 3-man has 12-mouth . 3-man has 4-hair . 3-man has 8-face . 3-man has 9-nose . 3-man wearing 0-tie . 3-man wearing 11-jacket . 3-man wearing 5-shirt . 4-hair on 10-head . 5-shirt under 11-jacket . 6-flag has 13-flower . 8-face of 3-man . 9-nose of 3-man . 9-nose on 8-face 
3YtnZiU,0-laptop on 10-table . 11-woman has 13-mouth . 11-woman has 15-head . 11-woman has 2-hair . 11-woman has 4-nose . 11-woman has 5-hand . 11-woman has 7-face . 11-woman has 9-hand . 11-woman sitting on 1-chair . 11-woman using 0-laptop . 11-woman wearing 6-shirt . 13-mouth of 11-woman . 14-window above 3-door . 15-head of 11-woman . 2-hair on 15-head . 3-door has 14-window . 4-nose of 11-woman . 5-hand of 11-woman . 5-hand on 0-laptop . 7-face of 11-woman . 8-flower on 10-table . 9-hand of 11-woman . 9-hand on 0-laptop 
3Zz0vux,0-man has 4-hand . 0-man has 5-hand . 0-man wearing 10-jacket . 0-man wearing 12-shirt . 0-man wearing 7-tie . 11-man wearing 12-shirt . 11-man wearing 7-tie . 12-shirt under 10-jacket . 13-letter on 9-sign . 14-letter on 15-sign . 1-man has 2-face . 1-man has 3-hair . 1-man wearing 8-glass . 2-face of 1-man . 4-hand of 0-man . 6-man wearing 8-glass . 8-glass on 1-man . 8-glass on 2-face 
43LJZG9,12-head of 6-woman . 14-hat on 8-head . 1-face of 6-woman . 3-hat on 12-head . 6-woman has 12-head . 6-woman has 1-face . 6-woman wearing 3-hat 
474EyYj,10-hat on 11-person . 10-hat on 8-head . 10-hat on 9-man . 12-sign behind 9-man . 13-hair on 8-head . 14-letter on 12-sign . 15-letter on 12-sign . 1-nose of 9-man . 2-ear of 9-man . 4-eye of 9-man . 5-eye of 9-man . 6-mouth of 9-man . 7-ear of 9-man . 8-head of 9-man . 9-man has 11-person . 9-man has 13-hair . 9-man has 1-nose . 9-man has 2-ear . 9-man has 3-neck . 9-man has 4-eye . 9-man has 5-eye . 9-man has 6-mouth . 9-man has 7-ear . 9-man has 8-head . 9-man wearing 0-shirt . 9-man wearing 10-hat 
4hxCAfW,0-ear of 10-person . 0-ear of 2-man . 10-person has 3-hair . 10-person has 5-nose . 10-person wearing 1-tie . 10-person wearing 6-shirt . 11-mouth of 10-person . 11-mouth of 2-man . 14-eye of 10-person . 14-eye of 2-man . 1-tie near 9-neck . 1-tie on 2-man . 2-man has 0-ear . 2-man has 11-mouth . 2-man has 14-eye . 2-man has 3-hair . 2-man has 4-eye . 2-man has 5-nose . 2-man has 7-eye . 2-man has 8-face . 2-man has 9-neck . 2-man wearing 1-tie . 2-man wearing 6-shirt . 4-eye of 10-person . 4-eye of 2-man . 5-nose of 10-person . 5-nose of 2-man . 5-nose on 8-face . 7-eye of 2-man . 8-face of 2-man 
4j07SmD,10-head of 14-man . 10-head of 7-person . 11-head of 1-man . 14-man wearing 2-jacket . 1-man has 11-head . 1-man has 3-hand . 1-man has 4-hair . 1-man has 6-hand . 1-man wearing 0-tie . 1-man wearing 8-shirt . 3-hand of 1-man . 4-hair on 11-head . 5-hair on 10-head . 6-hand of 1-man . 7-person has 10-head . 7-person has 5-hair . 7-person wearing 2-jacket . 9-number on 13-sign 
4j4jraI,0-mouth of 11-woman . 10-hand of 11-woman . 11-woman has 0-mouth . 11-woman has 10-hand . 11-woman has 1-eye . 11-woman has 2-nose . 11-woman has 3-face . 11-woman has 4-eye . 11-woman has 5-ear . 11-woman has 6-hair . 11-woman has 7-ear . 11-woman has 9-hand . 1-eye of 11-woman . 2-nose of 11-woman . 2-nose on 3-face . 3-face of 11-woman . 4-eye of 11-woman . 5-ear of 11-woman . 7-ear of 11-woman . 9-hand of 11-woman 
4jYyIBw, 0-logo .  1-letter 
4KXGjz0,12-hand of 3-man . 14-arm of 4-woman . 15-letter on 13-sign . 3-man has 12-hand . 3-man has 5-hand . 3-man has 7-hair . 3-man has 8-arm . 3-man has 9-head . 3-man wearing 1-shirt . 4-woman has 11-head . 4-woman has 14-arm . 4-woman has 5-hand . 4-woman wearing 6-shirt . 5-hand of 3-man . 5-hand of 4-woman . 8-arm of 3-man . 9-head of 3-man 
4LoGRB5,0-glass on 2-man . 0-glass on 5-face . 10-woman has 11-nose . 10-woman has 14-neck . 10-woman has 3-hair . 10-woman has 7-mouth . 10-woman has 8-face . 10-woman wearing 13-shirt . 11-nose of 10-woman . 15-letter on 4-sign . 2-man has 1-hair . 2-man has 5-face . 2-man has 6-nose . 2-man wearing 0-glass . 2-man wearing 12-shirt . 5-face of 2-man . 6-nose of 2-man . 6-nose on 5-face . 7-mouth of 10-woman 
4ZKsrX3, 0-light .  1-box .  2-box 
53U5Bca,0-nose of 13-man . 0-nose of 15-person . 0-nose on 3-face . 10-nose of 13-man . 10-nose of 15-person . 11-eye of 13-man . 13-man has 0-nose . 13-man has 10-nose . 13-man has 11-eye . 13-man has 14-hair . 13-man has 1-eye . 13-man has 2-eye . 13-man has 3-face . 13-man has 4-hair . 13-man has 5-ear . 13-man has 7-eye . 13-man has 8-neck . 13-man has 9-head . 13-man wearing 12-shirt . 13-man wearing 6-shirt . 15-person has 0-nose . 15-person has 10-nose . 15-person has 14-hair . 15-person has 4-hair . 15-person has 5-ear . 15-person has 7-eye . 15-person has 9-head . 15-person wearing 12-shirt . 15-person wearing 6-shirt . 1-eye of 13-man . 1-eye of 15-person . 2-eye of 13-man . 2-eye of 15-person . 4-hair on 9-head . 5-ear of 13-man . 5-ear of 15-person . 7-eye of 13-man . 7-eye of 15-person . 9-head of 13-man . 9-head of 15-person 
55A2AUa,0-face of 3-bear . 10-eye on 0-face . 10-eye on 3-bear . 13-neck of 3-bear . 14-arm on 3-bear . 15-letter on 11-sign . 15-letter on 7-shirt . 1-eye of 3-bear . 2-hat on 3-bear . 2-hat on 4-head . 3-bear has 0-face . 3-bear has 10-eye . 3-bear has 13-neck . 3-bear has 14-arm . 3-bear has 1-eye . 3-bear has 4-head . 3-bear has 5-eye . 3-bear on 11-sign . 3-bear on 9-snow . 3-bear wearing 2-hat . 3-bear wearing 7-shirt . 4-head of 3-bear . 5-eye of 3-bear . 7-shirt has 15-letter . 8-person wearing 12-jacket 
5aomAQA,2-woman has 0-hair . 2-woman has 3-face . 2-woman has 4-nose . 2-woman has 5-mouth . 2-woman has 6-neck . 2-woman has 7-mouth . 2-woman has 8-arm . 2-woman has 9-head . 2-woman wearing 1-shirt . 3-face of 2-woman . 4-nose of 2-woman . 5-mouth of 2-woman . 6-neck of 2-woman . 7-mouth of 2-woman . 8-arm of 2-woman . 9-head of 2-woman 
5hhUFqA,10-letter on 0-sign . 11-letter on 0-sign . 12-number on 0-sign . 13-letter on 0-sign . 14-letter on 0-sign . 15-letter on 0-sign . 1-letter on 0-sign . 2-letter on 0-sign . 3-letter on 0-sign . 4-letter on 0-sign . 5-letter on 0-sign . 5-letter on 10-letter . 6-letter on 0-sign . 7-letter on 0-sign . 8-letter on 0-sign . 9-letter on 0-sign 
5hN4XOF,10-tire on 2-truck . 12-tree behind 2-truck . 13-door on 2-truck . 14-windshield on 2-truck . 1-tree behind 2-truck . 2-truck has 10-tire . 2-truck has 13-door . 2-truck has 14-windshield . 2-truck has 4-tire . 2-truck has 7-light . 2-truck on 15-sidewalk . 3-tree behind 2-truck . 4-tire on 2-truck . 5-tree behind 2-truck . 7-light on 2-truck . 9-tree behind 2-truck 
5NWPOQp,0-flower on 4-table . 10-phone on 4-table . 11-zebra has 1-hair . 12-person has 15-arm . 12-person wearing 14-shirt . 15-arm of 12-person . 2-book on 4-table . 5-hand holding 8-phone . 8-phone in 5-hand . 8-phone on 4-table . 9-number on 2-book 
5oT4c6d,10-man wearing 12-hat . 11-hat on 8-head . 12-hat on 15-head . 12-hat on 2-man . 15-head of 2-man . 2-man has 6-hand . 2-man wearing 0-shirt . 2-man wearing 12-hat . 5-hand of 9-man . 6-hand holding 1-handle . 7-glove on 14-hand . 8-head of 9-man . 9-man has 5-hand . 9-man has 8-head . 9-man wearing 11-hat . 9-man wearing 13-pant . 9-man wearing 14-hand . 9-man wearing 4-shirt . 9-man wearing 7-glove 
5Oznxbq,12-lamp behind 3-man . 13-light behind 3-man . 14-ear of 3-man . 15-door behind 3-man . 3-man has 0-hair . 3-man has 10-neck . 3-man has 14-ear . 3-man has 1-hair . 3-man has 2-nose . 3-man has 5-face . 3-man has 7-mouth . 3-man has 8-nose . 3-man has 9-face . 3-man wearing 4-tie . 3-man wearing 6-shirt . 4-tie near 10-neck . 7-mouth of 3-man . 8-nose of 3-man . 9-face of 3-man 
5spRvtw,0-elephant has 13-leg . 0-elephant has 2-ear . 0-elephant has 3-leg . 0-elephant has 4-head . 0-elephant has 7-leg . 10-leg of 8-woman . 11-leg of 0-elephant . 11-leg of 8-woman . 13-leg of 0-elephant . 15-arm of 8-woman . 2-ear of 0-elephant . 3-leg of 0-elephant . 4-head of 0-elephant . 4-head of 8-woman . 7-leg of 0-elephant . 7-leg of 8-woman . 8-woman has 10-leg . 8-woman has 11-leg . 8-woman has 15-arm . 8-woman has 1-hair . 8-woman has 2-ear . 8-woman has 4-head . 8-woman has 7-leg . 8-woman on 0-elephant . 8-woman wearing 12-shoe . 8-woman wearing 5-shirt . 8-woman wearing 9-shoe 
5vVB395,0-eye of 3-man . 10-letter on 6-sign . 12-letter on 6-sign . 13-letter on 6-sign . 14-letter on 6-sign . 1-eye of 3-man . 2-face of 3-man . 3-man has 0-eye . 3-man has 1-eye . 3-man has 2-face . 3-man has 4-nose . 3-man has 5-eye . 3-man has 7-head . 3-man wearing 11-shirt . 4-nose of 3-man . 4-nose on 2-face . 5-eye of 3-man . 6-sign behind 3-man . 7-head of 3-man . 9-letter on 6-sign 
5W8eGmw,0-sign on 4-glass . 1-window on 2-building . 5-letter on 0-sign . 5-letter on 3-sign . 5-letter on 4-glass 
5WXHaW4, 0-man .  1-people 
5YMQ6wi,0-glass on 5-face . 10-hand of 2-man . 11-man has 12-hair . 11-man wearing 0-glass . 13-finger on 4-hand . 14-arm of 2-man . 15-dog has 1-tail . 15-dog has 3-leg . 15-dog has 6-leg . 1-tail of 15-dog . 2-man has 10-hand . 2-man has 12-hair . 2-man has 13-finger . 2-man has 14-arm . 2-man has 4-hand . 2-man has 5-face . 2-man has 6-leg . 2-man has 9-neck . 2-man wearing 0-glass . 3-leg of 15-dog . 4-hand of 2-man . 6-leg of 15-dog . 9-neck of 2-man 
6eRZSgn,10-letter on 9-box . 11-head of 1-man . 12-letter on 9-box . 13-letter on 4-sign . 14-letter on 4-sign . 1-man has 11-head . 1-man has 7-hair . 1-man wearing 0-shirt . 5-letter on 9-box . 7-hair on 11-head . 8-letter on 4-sign 
6faN492,0-glass on 11-man . 0-glass on 2-face . 10-eye of 11-man . 11-man has 10-eye . 11-man has 1-nose . 11-man has 2-face . 11-man has 3-hair . 11-man has 4-eye . 11-man has 5-mouth . 11-man has 8-hand . 11-man has 9-neck . 11-man wearing 0-glass . 11-man wearing 7-shirt . 12-letter on 6-sign . 14-letter on 6-sign . 15-letter on 6-sign . 1-nose of 11-man . 1-nose on 2-face . 2-face of 11-man . 4-eye of 11-man . 5-mouth of 11-man . 6-sign behind 11-man . 8-hand of 11-man 
6G0PNe1,0-sign has 9-letter . 10-branch on 6-tree . 1-leaf on 2-plant . 2-plant behind 0-sign . 3-leaf on 2-plant . 3-leaf on 6-tree . 4-leaf on 2-plant . 4-leaf on 6-tree . 5-letter on 0-sign . 6-tree behind 0-sign . 8-letter on 0-sign . 9-letter on 0-sign 
6jA3QAb,11-head of 8-boy . 14-child has 13-leg . 14-child has 6-hair . 14-child wearing 1-shirt . 14-child wearing 3-short . 4-hair on 11-head . 8-boy has 11-head . 8-boy has 4-hair . 8-boy wearing 10-sock . 8-boy wearing 15-shoe . 8-boy wearing 2-short . 8-boy wearing 5-jacket . 9-girl has 6-hair . 9-girl wearing 1-shirt . 9-girl wearing 3-short 
6L5ohmp,0-hand of 2-man . 1-nose of 2-man . 2-man has 0-hand . 2-man has 1-nose . 2-man has 3-face . 2-man has 4-mouth . 2-man has 5-hair . 2-man has 6-head . 3-face of 2-man . 4-mouth of 2-man . 5-hair on 6-head . 6-head of 2-man 
6NFcW7v,0-glass on 3-man . 0-glass on 6-face . 10-letter on 4-shirt . 11-person has 1-hair . 11-person wearing 0-glass . 12-letter on 4-shirt . 14-letter on 4-shirt . 15-eye of 3-man . 2-nose of 11-person . 2-nose of 3-man . 2-nose on 6-face . 3-man has 13-neck . 3-man has 15-eye . 3-man has 1-hair . 3-man has 2-nose . 3-man has 5-mouth . 3-man has 6-face . 3-man has 7-ear . 3-man wearing 0-glass . 3-man wearing 4-shirt . 4-shirt has 9-letter . 5-mouth of 3-man . 7-ear of 11-person . 7-ear of 3-man . 8-letter on 4-shirt . 9-letter on 4-shirt 
6r16i0p,11-man has 6-hand . 11-man holding 2-sign . 13-man holding 2-sign . 15-hand of 3-man . 3-man has 12-hair . 3-man has 15-hand . 3-man holding 1-sign . 3-man wearing 4-shirt . 3-man wearing 8-hat . 7-man has 0-hand . 7-man has 9-hand . 7-man wearing 10-shirt 
6uTXEgh,0-shirt has 7-letter . 1-letter on 0-shirt . 2-letter on 0-shirt . 2-letter on 3-logo . 3-logo has 7-letter . 3-logo on 0-shirt . 4-plate on 6-table . 7-letter on 0-shirt . 7-letter on 3-logo . 8-letter on 0-shirt . 8-letter on 3-logo 
6V4OrKm,0-eye of 14-woman . 10-shirt has 5-flower . 11-sign behind 14-woman . 13-letter on 11-sign . 14-woman has 0-eye . 14-woman has 15-head . 14-woman has 1-nose . 14-woman has 2-eye . 14-woman has 3-mouth . 14-woman has 4-hair . 14-woman has 6-face . 14-woman has 7-ear . 14-woman has 8-hand . 14-woman has 9-neck . 14-woman wearing 10-shirt . 15-head of 14-woman . 1-nose of 14-woman . 1-nose on 6-face . 2-eye of 14-woman . 3-mouth of 14-woman . 5-flower on 10-shirt . 6-face of 14-woman . 7-ear of 14-woman . 8-hand of 14-woman . 9-neck of 14-woman 
