filename,scene_graph,knowledge_base
1DY6I9Q,man has eye . man has neck . man has hair . man has nose . man has ear . man has mouth . man has face . man wearing shirt . man wearing tie . person wearing tie . eye of man . letter on sign . tie on shirt . tie on neck . nose of man . nose of person . ear of man . ear of person . sign behind man . mouth of man . face of man ,"male adult human. being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans). organ that detects light and converts it into electro-chemical impulses in neurons. garment for the upper body. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. clothing item, traditionally worn by boys and men with dress shirt. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. protein filament that grows from follicles found in the dermis, or skin. organ that smells and facilitates breathing. organ that detects sound; organ of hearing and balanc. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. organ that detects light and converts it into electro-chemical impulses in neurons. first portion of the alimentary canal that receives food. part of the body at the front of the head. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. American politician, businessman, and 29th Governor of New Mexico"
1f2zSW8,tie near neck . tie on man . face of man . person has hair . person wearing tie . man has neck . man has face . man has hair . man has nose . man has mouth . man wearing tie . man wearing shirt . nose of person . nose of man . nose on face . mouth of man ,"clothing item, traditionally worn by boys and men with dress shirt. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. part of the body at the front of the head. large road vehicle for transporting people. being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans). male adult human. protein filament that grows from follicles found in the dermis, or skin. organ that smells and facilitates breathing. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. first portion of the alimentary canal that receives food. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. garment for the upper body. American political journalist, correspondent, author"
1iLg1U1,letter on sign ,"semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. amorphous solid that exhibits a glass transition when heated towards the liquid state. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. first portion of the alimentary canal that receives food. organ that detects light and converts it into electro-chemical impulses in neurons. organ that detects light and converts it into electro-chemical impulses in neurons"
1JQk5NF,tie on man . head of man . glass on man . glass on face . hair on head . man has head . man has hair . man has ear . man has hand . man has face . man wearing tie . man wearing jacket . man wearing glass . man wearing shirt . ear of man . hand of man . face of man ,"clothing item, traditionally worn by boys and men with dress shirt. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. clothing for the upper body. male adult human. being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans). amorphous solid that exhibits a glass transition when heated towards the liquid state. protein filament that grows from follicles found in the dermis, or skin. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. organ that detects sound; organ of hearing and balanc. extremity at the end of an arm or forelimb. acoustic-to-electric transducer or sensor that converts sound into an electrical signal. garment for the upper body. part of the body at the front of the head. American politician. Wikimedia disambiguation page"
1nSSB9S,frame. blot,
1Yj5Kns,face of man . glass on face . glass on man . glass on head . man has face . man has hair . man has ear . man wearing glass . hair on head . ear of man . ear on head ,"part of the body at the front of the head. amorphous solid that exhibits a glass transition when heated towards the liquid state. male adult human. organ that detects sound; organ of hearing and balanc. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. American politician. fictional character in the Star Wars universe. American politician"
1YQOnyG,man wearing glass . hand of man . man has hand . man wearing tie . man wearing jacket . man wearing shirt . glass on man ,"clothing item, traditionally worn by boys and men with dress shirt. clothing for the upper body. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. protein filament that grows from follicles found in the dermis, or skin. extremity at the end of an arm or forelimb. male adult human. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. female adult human. male adult human. garment for the upper body. amorphous solid that exhibits a glass transition when heated towards the liquid state. American politician"
209BoJK,glass on man . glass on face . head of woman . nose of woman . man has hair . man has face . man wearing glass . man wearing shirt . man wearing tie . woman has head . woman has nose . woman has hair . woman has mouth . hair on head . face of man . mouth of woman ,"amorphous solid that exhibits a glass transition when heated towards the liquid state. garment for the upper body. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. organ that smells and facilitates breathing. clothing item, traditionally worn by boys and men with dress shirt. piece of fabric with a distinctive design, used as a symbol. protein filament that grows from follicles found in the dermis, or skin. male adult human. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. female adult human. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. first portion of the alimentary canal that receives food. national flag of the United States of America. American politician. American politician"
27nZ2PK,letter on sign . eye on kite ,"organ that detects light and converts it into electro-chemical impulses in neurons. grapheme in an alphabetic system of writing. one-dimensional infinite geometric object. grapheme in an alphabetic system of writing. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. part of the body at the front of the head. extremity at the end of an arm or forelimb. extremity at the end of an arm or forelimb. grapheme in an alphabetic system of writing. organ that detects light and converts it into electro-chemical impulses in neurons. grapheme in an alphabetic system of writing. one-dimensional infinite geometric object. extremity at the end of an arm or forelimb. American politician"
2aiRLNR,glass on man . glass on face . head of woman . nose of woman . letter on sign . man has face . man has hair . man wearing glass . man wearing shirt . face of man . hair on head . woman has head . woman has nose . woman has neck . woman has hair . woman wearing shirt . flag behind man ,"amorphous solid that exhibits a glass transition when heated towards the liquid state. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. organ that smells and facilitates breathing. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. grapheme in an alphabetic system of writing. garment for the upper body. grapheme in an alphabetic system of writing. male adult human. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. part of the body at the front of the head. protein filament that grows from follicles found in the dermis, or skin. protein filament that grows from follicles found in the dermis, or skin. female adult human. garment for the upper body. piece of fabric with a distinctive design, used as a symbol. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. American politician. female adult human. American politician. national flag of the United States of America"
2iaC1qq,cat has ear . cat has head . cat has eye . ear of cat . head of cat . eye of cat ,"domesticated feline. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. organ that detects sound; organ of hearing and balanc. organ that detects sound; organ of hearing and balanc. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. organ that detects light and converts it into electro-chemical impulses in neurons. written text that can be published in printed or electronic form. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. scheduled publication containing news of events, articles, features, editorials, and advertising"
2MXmVri,hand of man . nose of person . nose of man . nose on face . mouth of man . man has hand . man has finger . man has nose . man has mouth . man has face . man wearing shirt . face of person . face of man ,extremity at the end of an arm or forelimb. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans). one of usually five articulated digits at the end of the tetrapod hand. being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans). organ that smells and facilitates breathing. first portion of the alimentary canal that receives food. male adult human. male adult human. part of the body at the front of the head. garment for the upper body. fictional Star Trek character. fictional character in the Star Trek franchise
2myYC1v,woman has arm . woman has hand . woman has hair . arm of woman . man has hair . man has face . man has nose . face of man . nose of woman . nose of man . nose on face . woman has face . woman has nose ,"protein filament that grows from follicles found in the dermis, or skin. female adult human. forearm and upper arm together. grapheme in an alphabetic system of writing. extremity at the end of an arm or forelimb. female adult human. protein filament that grows from follicles found in the dermis, or skin. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. protein filament that grows from follicles found in the dermis, or skin. male adult human. part of the body at the front of the head. organ that smells and facilitates breathing. male adult human. organ that smells and facilitates breathing. female adult human. American actress and activist. American actor, screenwriter, director, producer, activist and musician. American actor, screenwriter, director, producer, activist and musician. American actress and activist"
2pt7Wkd,glass on man . glass on face . man has hair . man has face . man wearing glass . woman has hair . woman has face . face of man . face of woman ,"amorphous solid that exhibits a glass transition when heated towards the liquid state. grapheme in an alphabetic system of writing. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. male adult human. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. protein filament that grows from follicles found in the dermis, or skin. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. female adult human. protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. part of the body at the front of the head. American politician. American politician"
2siNIoX,tie near neck . tie on man . nose of man . mouth of man . man has neck . man has nose . man has mouth . man has hair . man has face . man has head . man has ear . man wearing tie . man wearing shirt . man wearing jacket . shirt under jacket . hair on head . face of man . head of man . ear of man ,"clothing item, traditionally worn by boys and men with dress shirt. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. organ that smells and facilitates breathing. grapheme in an alphabetic system of writing. first portion of the alimentary canal that receives food. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. male adult human. garment for the upper body. protein filament that grows from follicles found in the dermis, or skin. part of the body at the front of the head. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. clothing for the upper body. garment for the upper body. organ that detects sound; organ of hearing and balanc"
2tuVUzz,leg of woman . woman has leg . woman wearing hat ,"semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. weight bearing and locomotive anatomical structure, usually having a columnar shape, function as ""extensible struts"". footwear. female adult human. female adult human. female adult human. female adult human. shaped head covering, having a brim and a crown, or one of these. female adult human. shaped head covering, having a brim and a crown, or one of these. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. shaped head covering, having a brim and a crown, or one of these. footwear. American politician"
2UT3Ips,head of cat . nose of cat . face of cat . ear of cat . eye of cat . cat has head . cat has nose . cat has face . cat has ear . cat has eye ,"anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. organ that smells and facilitates breathing. part of the body at the front of the head. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. clothing for the upper body. organ that detects sound; organ of hearing and balanc. organ that detects light and converts it into electro-chemical impulses in neurons. organ that detects sound; organ of hearing and balanc. domesticated feline. domesticated feline. organ that detects light and converts it into electro-chemical impulses in neurons. vessel for liquids. grapheme in an alphabetic system of writing"
34nLFqO,face of head . head has face . head has eye . head has hair . eye of head . hair on face . hair on head ,"part of the body at the front of the head. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. one-dimensional infinite geometric object. one-dimensional infinite geometric object. organ that detects light and converts it into electro-chemical impulses in neurons. part of the body at the front of the head. organ that detects light and converts it into electro-chemical impulses in neurons. organ that detects light and converts it into electro-chemical impulses in neurons. part of the body at the front of the head. organ that detects light and converts it into electro-chemical impulses in neurons. one-dimensional infinite geometric object. one-dimensional infinite geometric object"
3bqSgzm,glass on man . glass on face . face of woman . mouth of woman . flag behind man . man has hair . man has face . man has nose . man wearing glass . man wearing tie . woman has face . woman has mouth . woman has neck . woman has hair . woman wearing shirt . face of man . nose of man . nose on face ,"amorphous solid that exhibits a glass transition when heated towards the liquid state. garment for the upper body. part of the body at the front of the head. first portion of the alimentary canal that receives food. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. clothing item, traditionally worn by boys and men with dress shirt. piece of fabric with a distinctive design, used as a symbol. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. protein filament that grows from follicles found in the dermis, or skin. protein filament that grows from follicles found in the dermis, or skin. male adult human. female adult human. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. part of the body at the front of the head. organ that smells and facilitates breathing. national flag of the United States of America. American politician. American politician"
3CbPlsi,woman has hair . man has face ,"female adult human. male adult human. part of the body at the front of the head. protein filament that grows from follicles found in the dermis, or skin. protein filament that grows from follicles found in the dermis, or skin. American politician. 45th president of the United States (2017–2021)"
3fsUJvp,head of man . man has head ,"grapheme in an alphabetic system of writing. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. box-shaped piece of furniture with doors or drawers for storing miscellaneous items. male adult human. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. fictional character in Marvel Comics"
3wirGHJ,head of man . mouth of man . man has head . man has mouth . man has hair . man has face . man has nose . man wearing tie . man wearing jacket . man wearing shirt . hair on head . shirt under jacket . face of man . nose of man . nose on face ,"clothing item, traditionally worn by boys and men with dress shirt. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. clothing for the upper body. first portion of the alimentary canal that receives food. low explosive pyrotechnic devices used for aesthetic and entertainment purposes. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. protein filament that grows from follicles found in the dermis, or skin. being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans). male adult human. protein filament that grows from follicles found in the dermis, or skin. garment for the upper body. piece of fabric with a distinctive design, used as a symbol. male adult human. part of the body at the front of the head. organ that smells and facilitates breathing. 45th president of the United States (2017–2021). national flag of the United States of America. 45th president of the United States (2017–2021)"
3YtnZiU,laptop on table . woman has mouth . woman has head . woman has hair . woman has nose . woman has hand . woman sitting on chair . woman using laptop . woman wearing shirt . mouth of woman . head of woman . hair on head . nose of woman . hand of woman . hand on laptop . flower on table ,"foldable portable personal computer for mobile use. piece of furniture with a flat top. female adult human. distinguishable space within a building or other structure. first portion of the alimentary canal that receives food. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. piece of furniture for sitting on. protein filament that grows from follicles found in the dermis, or skin. organ that smells and facilitates breathing. extremity at the end of an arm or forelimb. part of the body at the front of the head. sexual reproductive structure found on flowering plants. extremity at the end of an arm or forelimb. American politician. genus of plants"
3Zz0vux,man has hand . man wearing jacket . man wearing shirt . man wearing tie . shirt under jacket . hand of man ,"male adult human. clothing for the upper body. garment for the upper body. grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. male adult human. part of the body at the front of the head. protein filament that grows from follicles found in the dermis, or skin. extremity at the end of an arm or forelimb. clothing item, traditionally worn by boys and men with dress shirt. American politician, 39th president of the United States (in office from 1977 to 1981). 40th president of the United States and actor"
43LJZG9,head of woman . hat on head . face of woman . woman has head . woman has face ,"semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. part of the body at the front of the head. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. female adult human. semiotic concept; object, quality, event, or entity whose presence or occurrence indicates the probable presence or occurrence of something else; includes words, punctuation, expressions, gestures, notices, road signs, symbols, pictures, etc.. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing"
474EyYj,hat on person . hat on head . hat on man . nose of man . ear of man . eye of man . mouth of man . head of man . man has nose . man has ear . man has neck . man has eye . man has mouth . man has head . man wearing shirt . man wearing hat ,"garment for the upper body. shaped head covering, having a brim and a crown, or one of these. being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans). grapheme in an alphabetic system of writing. grapheme in an alphabetic system of writing. organ that smells and facilitates breathing. organ that detects sound; organ of hearing and balanc. part of the body, on many terrestrial or secondarily aquatic vertebrates, that distinguishes the head from the torso or trunk. organ that detects light and converts it into electro-chemical impulses in neurons. organ that detects light and converts it into electro-chemical impulses in neurons. first portion of the alimentary canal that receives food. organ that detects sound; organ of hearing and balanc. anterior anatomical region in many animals, which tends to contain sensory and nervous organs and orifices for ingestion and breathing. male adult human"
